designation,source_id,bp_rp,bp_g,g_rp,l,b
Gaia DR2 1687566493972004736,1687566493972004736,1.3624182,0.62158966,0.7408285,118.48121381108867,44.087124812982644
Gaia DR2 767259211229899136,767259211229899136,1.7160912,0.824213,0.8918781,171.1191330008908,69.14681907165982
Gaia DR2 3589329050014469120,3589329050014469120,2.5434113,1.3904572,1.1529541,276.66821890198054,51.97760237923914
Gaia DR2 1473770821638669440,1473770821638669440,1.8082352,0.86938286,0.9388523,88.2443784226601,78.18131706382246
Gaia DR2 2926304090858303360,2926304090858303360,0.9194164,0.38445568,0.53496075,232.00887642088017,-13.05889170883403
Gaia DR2 1595867391719316352,1595867391719316352,2.478136,1.3045521,1.173584,84.52781534869723,52.23486799852435
Gaia DR2 6904834891022110464,6904834891022110464,2.7330513,1.5261936,1.2068577,36.2171238979464,-27.191029862308383
Gaia DR2 1800372092014308736,1800372092014308736,1.7373648,0.8396292,0.8977356,78.31589272063536,-19.22358175128363
Gaia DR2 2596551104754526464,2596551104754526464,1.8406725,0.90411663,0.93655586,47.276494131977486,-58.073289932886794
Gaia DR2 1393973662173379840,1393973662173379840,2.2940187,1.2030125,1.0910063,70.06645473889576,55.50923319780471
Gaia DR2 720032133096865920,720032133096865920,2.130867,1.0893192,1.0415478,183.47635309424197,40.754164860951846
Gaia DR2 1672957282973863424,1672957282973863424,2.214408,1.1491184,1.0652895,115.11193318152166,47.993272548038874
Gaia DR2 1596459242507856000,1596459242507856000,2.284091,1.2038689,1.0802221,86.1684462902039,51.07487119925376
Gaia DR2 2116814523492119168,2116814523492119168,2.5615864,1.4017296,1.1598568,72.16393027269069,19.778558250703693
Gaia DR2 1287753107989683968,1287753107989683968,2.2969112,1.2030945,1.0938168,55.68505088677077,66.88064443836694
Gaia DR2 1037873834853537792,1037873834853537792,1.3988037,0.6426487,0.756155,157.8781892529429,38.59002850430347
Gaia DR2 5467371257595259008,5467371257595259008,2.7962341,1.5726967,1.2235374,269.6867761271378,23.674867468422537
Gaia DR2 2137699338842695552,2137699338842695552,2.4373302,1.3053408,1.1319895,87.86443933934726,12.570399129317469
Gaia DR2 1632564318145891968,1632564318145891968,2.6019392,1.388401,1.2135382,93.33522666718174,33.85697545838823
Gaia DR2 911968242959798784,911968242959798784,1.3179235,0.5998926,0.7180309,179.84061560129433,36.71138546174023
Gaia DR2 2240257763389280896,2240257763389280896,2.9507961,1.6424961,1.3083,94.02822591578683,19.839662771458066
Gaia DR2 3978929381723924992,3978929381723924992,1.8181152,0.8829689,0.93514633,223.23020236059796,69.94838412171428
Gaia DR2 3160031675617705088,3160031675617705088,1.8187723,0.88960457,0.92916775,205.05560037188053,10.907850848197743
Gaia DR2 1488234347346255616,1488234347346255616,2.3846512,1.2537308,1.1309204,71.01722016824083,65.41481702978393
Gaia DR2 2961320340744309760,2961320340744309760,2.592949,1.4124565,1.1804924,225.39662496099504,-30.014852975406566
Gaia DR2 3187271766956816000,3187271766956816000,2.4700089,1.3395214,1.1304874,205.3520066028281,-29.000292614952354
Gaia DR2 5465982024653007232,5465982024653007232,1.0343466,0.44452572,0.58982086,264.365772016877,22.849599259789674
Gaia DR2 2368396978793487360,2368396978793487360,1.1249361,0.48409176,0.64084435,91.02250086446246,-77.3291764708948
Gaia DR2 4602283514680051200,4602283514680051200,1.7857323,0.87079144,0.91494083,58.712736124338335,28.69638180791188
Gaia DR2 2125909718037183616,2125909718037183616,2.5861893,1.3884678,1.1977215,76.28011879631289,11.827225121998541
Gaia DR2 1577561936161172352,1577561936161172352,2.1995564,1.1249676,1.0745888,123.74721703042748,60.04493363647078
Gaia DR2 823593685913032832,823593685913032832,2.675171,1.4517632,1.2234077,166.74922726287755,50.34050310311958
Gaia DR2 1677528051593874560,1677528051593874560,2.7059822,1.5101109,1.1958714,123.6349471067704,51.50619165664512
Gaia DR2 1592229558714831488,1592229558714831488,1.2201061,0.5447645,0.6753416,83.79416517808512,55.929645128694474
Gaia DR2 395932320399086464,395932320399086464,1.5657387,0.73219776,0.8335409,117.16833324114899,-9.887617079665173
Gaia DR2 675956319711609344,675956319711609344,1.9623184,0.9698086,0.99250984,201.64914500950871,26.95820314430397
Gaia DR2 4875697937287432320,4875697937287432320,2.2073174,1.1419296,1.0653877,232.25517623514185,-35.587194490319455
Gaia DR2 1690086608982472832,1690086608982472832,2.0990477,1.0696096,1.029438,126.48079819993069,45.07418268905844
Gaia DR2 3167718906866270080,3167718906866270080,2.4412975,1.306591,1.1347065,201.22404460640786,11.766002666071376
Gaia DR2 5747352715261311488,5747352715261311488,2.4920692,1.3414345,1.1506348,238.01756041400617,19.018982977540308
Gaia DR2 829843657899711616,829843657899711616,1.4924946,0.69108105,0.80141354,172.54039902133036,56.8970866766425
Gaia DR2 6888037896697932416,6888037896697932416,1.9529552,0.9722824,0.98067284,33.830870933817806,-31.561806216861925
Gaia DR2 3847153492955825536,3847153492955825536,2.4825783,1.3438206,1.1387577,233.61730902683294,40.07831037673136
Gaia DR2 6610286038156442880,6610286038156442880,1.0976467,0.47775555,0.61989117,24.482309401350424,-62.21470786125404
Gaia DR2 3848626838536835712,3848626838536835712,2.0446901,1.0316448,1.0130453,234.21851529103873,41.14169502750489
Gaia DR2 1956222986173676032,1956222986173676032,2.528883,1.3741894,1.1546936,90.85084159598726,-12.371449231002984
Gaia DR2 2444973634340362624,2444973634340362624,2.114582,1.0878658,1.0267162,98.36610176864049,-65.13014131143116
Gaia DR2 3290237663643802112,3290237663643802112,2.124445,1.0901632,1.0342817,191.64243955410615,-20.386998344683228
Gaia DR2 5093828876594388608,5093828876594388608,2.5065384,1.3051872,1.2013512,214.64093420063003,-46.576985890339
Gaia DR2 2344085363657769344,2344085363657769344,2.5556316,1.3415813,1.2140503,79.92420390245104,-87.25959570434034
Gaia DR2 5660719312186592640,5660719312186592640,1.7008762,0.821084,0.8797922,259.2922413666427,24.999323988538897
Gaia DR2 1091959670818028800,1091959670818028800,2.2506428,1.1751661,1.0754766,150.70196047910807,33.01469519477352
Gaia DR2 1503998011194046336,1503998011194046336,2.3895817,1.261282,1.1282997,99.21534097098936,68.33154340890641
Gaia DR2 656595706654196736,656595706654196736,2.7456102,1.5219326,1.2236776,206.1415398659459,25.447779944333284
