,Gaia2,Gmag,bp_rp,bp_g,g_rp,ra,de,PDis,plx,Sep,pmRA,pmDE,Age,e_Age,PreAge,e_PreAge,CoolAge,feh,DM,Av,Nb,PCont,l,b
87,268123027195914368,16.807653,3.0505352,1.7653846999999998,1.2851505,84.32132299999998,55.38973000000001,0.01136,7.353,5561.9982,51.988,-84.84,1.746,0.066,0.173,0.024,1.5730000000000002,-0.628,5.7920000000000025,0.083,7,0.021,156.39239741517815,12.390416002929788
88,268780152896815488,17.911205,2.7732182,1.5469111999999998,1.2263069,89.31732199999998,57.625866,0.01228,4.183,10571.5267,-10.045,-13.951,8.322000000000001,2.824,7.746,2.84,0.5760000000000001,-1.015,7.316,0.07,7,0.091,155.6971071811355,15.874018518933553
89,268798294838861696,17.606728,2.6795788,1.3859081,1.2936707,89.42214799999998,57.860448,0.00062,4.401,519.8739,-8.091000000000001,-40.75,5.6110000000000015,2.857,5.416,2.862,0.195,-0.815,7.021,0.039,7,0.0,155.50286007774125,16.026585537991064
90,270444371122977280,9.976926,0.7643175,0.31516838,0.44914913,65.726062,49.866821,0.01106,8.291,4491.709,55.457,-76.413,2.657,0.026,0.122,0.012,2.5340000000000003,-0.652,5.408,0.085,7,0.008,153.8538999002345,0.13296219338915022
91,276898366943529472,13.440162,1.3266344,0.6004553,0.7261791,65.511604,56.858715,0.00228,4.217,1946.1717,-9.784,-5.085,8.161,2.6060000000000003,7.276,2.61,0.8859999999999999,-0.917,7.037000000000001,0.198,7,0.0,148.7969629602305,4.969922623453244
92,277090609673089920,7.591478299999999,0.6932759000000001,0.28979492,0.403481,68.316677,55.461678000000006,0.008759999999999999,13.470999999999998,2340.3743,0.665,-104.391,1.327,0.073,0.389,0.077,0.938,-0.655,4.353,0.136,7,0.0,150.89394585034097,5.135103115101249
93,278300209903575552,15.5056715,2.2758837000000005,1.1914301,1.0844536,69.145926,57.47594100000001,0.00221,3.772,2105.5288,9.043,-28.158,6.881,2.644,6.348,2.651,0.5329999999999999,-0.8490000000000001,7.327000000000001,0.101,7,0.0,149.7029882366214,6.827450374270714
94,284161324137283840,17.699203,2.872839,1.6195698,1.2532692,75.755963,59.310854000000006,0.00172,5.5379999999999985,1119.5839,-7.574,19.312,1.884,0.116,0.387,0.115,1.4980000000000002,-0.736,6.28,0.077,7,0.0,150.46936751358575,10.671325184716078
95,285359727387819904,16.284647,2.7582827,1.538765,1.2195177,74.54345699999998,61.189373,0.007859999999999999,7.782999999999999,3633.7537,-24.54,-18.469,7.3210000000000015,2.131,7.146,2.13,0.175,-0.871,5.614,0.002,7,0.005,148.5679473413966,11.308931483330245
96,287738520794441984,17.071362,2.8755693,1.6339549999999998,1.2416143,85.226405,63.920561,0.00686,5.4670000000000005,4271.4344,-6.437,-48.25899999999999,2.022,0.54,1.238,0.5660000000000001,0.784,-0.7290000000000001,6.311,0.029,7,0.008,148.90309585273198,16.92019010494569
97,288287413318823168,14.218825,2.5623255,1.4001255,1.1622,22.774199,20.155359,0.00168,13.275,448.0869,276.587,7.542999999999997,2.7510000000000003,0.61,2.144,0.612,0.607,-0.7440000000000001,4.532,0.06,7,0.0,135.44479471746627,-41.75079300881572
98,290678443086494848,12.283173,2.0669289,1.0590992,1.0078296999999998,26.325607,23.295217,0.00675,16.317999999999998,1481.1095,308.485,-107.713,1.897,0.243,0.877,0.252,1.02,-0.8009999999999999,4.323,0.055,7,0.0,138.66466713064128,-37.925418800178655
99,291935150517280640,16.140729999999998,2.5275898,1.3804665,1.1471233,23.68042,24.574231,0.0017,6.1960000000000015,987.1306,12.309,-8.651,2.612,0.6459999999999999,1.913,0.657,0.698,-0.745,6.354,0.081,7,0.0,135.31830984296437,-37.25426920241881
100,293251570878606336,17.509970000000006,2.975645,1.7276592,1.2479858,19.177145,24.043175,0.00336,5.479,2207.6407,1.472,-32.545,1.3969999999999998,0.16399999999999998,0.596,0.191,0.8009999999999999,-0.746,6.4860000000000015,0.061,7,0.0,130.30609990767806,-38.46646763077419
